
qid,labels,en
68a8dd37ff0fa456770b3a15,ko:왕후 석씨; vi:Vương hậu họ Seok,Vuong hau ho Seok
68a8dd37ff0fa456770b3f16,vi:Thái hậu Somun,Thai hau Somun
68a8dd37ff0fa456770b4650,vi:Đoạn Thế Hoằng,Doan The Hoang
68a8dd37ff0fa456770b4652,vi:Đoạn Xác,Doan Xac
68a8dd37ff0fa456770b52e0,bg:Секстия Цетегила; hy:Sextia Cethegilla; ru:Секстия Цетегилла; uk:Секстія Цетегілла,Sextia Cethegilla
68a8dd37ff0fa456770b57ac,ru:госпожа Ири; vi:Phu nhân Ili,Phu nhan Ili
68a8dd37ff0fa456770b74c4,da:Svantepolk; fr:Sviatopolk; it:Svjatopolk (re degli obodriti); nb:Svantepolk; nl:Świętopełk; pl:Świętopełk; ru:Святополк; sv:Sviatopolk av obotriterna; uk:Свентіполк,Svantepolk
68a8dd37ff0fa456770b74ee,"ru:Аббо, граф Пуатье","Abbo, graf Puate"
68a8dd37ff0fa456770b7561,fr:N Malet; ru:N Мале,N Malet
68a8dd37ff0fa456770b75e7,es:Vidkun de Bjarkøy,Vidkun de Bjarkoy
68a8dd37ff0fa456770b75e9,ast:Einar Håreksson Fluga; nb:Einar Håreksson Fluga; nl:Einar Håreksson Fluga; sv:Einar Håreksson Fluga,Einar Hareksson Fluga
68a8dd37ff0fa456770b75fd,cs:Sven Svensson,Sven Svensson
68a8dd37ff0fa456770b7657,ast:Pål Skoftesson; es:Pål Skoftesson; nl:Pål Skoftesson,Pal Skoftesson
68a8dd37ff0fa456770b7665,ast:Þorsteinn Þorkelsson; es:Þorsteinn Þorkelsson,Thorsteinn Thorkelsson
68a8dd37ff0fa456770b767c,fr:Flann mac Máele Ruanaid; ga:Flann mac Máele Ruanaid; ru:Фланн мак Маэл Руанайд,Flann mac Maele Ruanaid
68a8dd37ff0fa456770b76c2,bg:Ривин I фон Дилинген,Rivin I fon Dilingen
68a8dd37ff0fa456770b787b,cs:Konrád Dolnobavorský; nl:Conrad von Unter-Bayern,Konrad Dolnobavorsky
68a8dd37ff0fa456770b79e8,ru:Анна де Квинси,Anna de Kvinsi
68a8dd37ff0fa456770b7b04,vi:Vương hậu Seongmog,Vuong hau Seongmog
68a8dd37ff0fa456770b7b11,ko:광의황후; vi:Quang Ý hoàng hậu,Quang Y hoang hau
68a8dd37ff0fa456770b7b50,ru:Уильям III де Бошан из Элмли,Uil'iam III de Boshan iz Elmli
68a8dd37ff0fa456770b7dd9,vi:Đoạn Văn Thao,Doan Van Thao
