cycle_len	chain_qids	cut_parent	cut_child	reason	confidence
7	Q140681 -> Q140643 -> Q139043 -> Q138061 -> Q138810 -> Q140234 -> Q139067 -> Q140681			unresolved: no evidence separates the 7 edges in this cycle: none contradicted by dates, none reversed by patronymic, and sourcing is even across the chain. Cutting any edge here would be a guess.	unresolved
4	Q144542 -> Q148522 -> Q146349 -> Q148521 -> Q144542	Q148521 (Tudur Fongam ap Cynwrig Fychan ap Cynwrig ap Llywarch)	Q144542 (Morfudd ferch Tudur Fongam ap Cynwrig Fychan ap Cynwrig)	homonym_adjacent: endpoints share part of a name but not all of it (76% similar: 'Tudur Fongam ap Cynwrig Fychan ap Cynwrig ap Llywarch' / 'Morfudd ferch Tudur Fongam ap Cynwrig Fychan ap Cynwrig'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error | and the two records share a spouse (Gwenllian Fechan ferch Gronwy Fychan ap Gronwy ab Ednyfed Fychan), which is what a duplicated person looks like rather than corroboration	low
2	Q124326 -> Q104375 -> Q124326	Q124326 (Guerau V de Cabrera)	Q104375 (Ponc II Giraldo de Cabrera)	date_bounded: Guerau V de Cabrera born no earlier than 1316 (from Fernando Rodríguez de Castro b.+1280, 3 generation(s) up); Ponc II Giraldo de Cabrera born no later than 1065 (from Pedro Ponce de Cabrera, 3 generation(s) down)	medium
5	Q124326 -> Q104371 -> Q107162 -> Q123407 -> Q124325 -> Q124326	Q124326 (Guerau V de Cabrera)	Q104371 (Arsende de Cabrera)	date_bounded: Guerau V de Cabrera born no earlier than 1316 (from Fernando Rodríguez de Castro b.+1280, 3 generation(s) up); Arsende de Cabrera born no later than 1111 (from Estefania d'Urgell, 1 generation(s) down)	medium
2	Q119481 -> Q124343 -> Q119481	Q119481 (Pons Hug d'Entença)	Q124343 (Jussiana d'Entença)	duplicate_pair: 2-node cycle, labels 61% identical (Pons Hug d'Entença / Jussiana d'Entença): a merge artifact — these are one person duplicated, not two people. Proposed action is a MERGE; the cut edge named here is the worse-sourced direction	medium
2	Q103888 -> Q118097 -> Q103888	Q103888 (Martim Pires de Alvarenga)	Q118097 (Pero Pais de Alvarenga)	patronymic_reversal: parent's own patronymic (Martim Pires de Alvarenga) names the child as ITS father; edge points the wrong way | endpoints share part of a name but not all of it (77% similar: 'Martim Pires de Alvarenga' / 'Pero Pais de Alvarenga'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error	high
4	Q135895 -> Q113081 -> Q111318 -> Q111320 -> Q135895			unresolved: no evidence separates the 4 edges in this cycle: none contradicted by dates, none reversed by patronymic, and sourcing is even across the chain. Cutting any edge here would be a guess.	unresolved
46	Q79084 -> Q79093 -> Q79102 -> Q79114 -> Q79132 -> Q79144 -> Q79162 -> Q79186 -> Q79205 -> Q79229 -> Q79250 -> Q79277 -> Q79295 -> Q79313 -> Q79358 -> Q79370 -> Q79406 -> Q79400 -> Q79424 -> Q79450 -> Q79480 -> Q79537 -> Q79618 -> Q99939 -> Q100154 -> Q100519 -> Q101113 -> Q113625 -> Q79385 -> Q79409 -> Q79429 -> Q79459 -> Q79495 -> Q79510 -> Q79582 -> Q79663 -> Q79863 -> Q80223 -> Q80606 -> Q81339 -> Q82122 -> Q99597 -> Q99585 -> Q99573 -> Q99558 -> Q99544 -> Q79084	Q82122 (Barbara, imperatriz of Rome)	Q99597 (Bárbara, Princess of Rome)	homonym_adjacent: endpoints share part of a name but not all of it (77% similar: 'Barbara, imperatriz of Rome' / 'Bárbara, Princess of Rome'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error | and the two records share a spouse (Romulus Augustulus,The Last Emperor of Rome), which is what a duplicated person looks like rather than corroboration [this edge appears in 7 of the 71 listed cycles]	low
47	Q79313 -> Q79358 -> Q79370 -> Q79406 -> Q79400 -> Q79424 -> Q79450 -> Q79480 -> Q79537 -> Q79618 -> Q99939 -> Q100154 -> Q100519 -> Q101113 -> Q113625 -> Q79385 -> Q79409 -> Q79429 -> Q79459 -> Q79495 -> Q79510 -> Q79582 -> Q79663 -> Q79863 -> Q80223 -> Q80606 -> Q81339 -> Q82122 -> Q99597 -> Q99585 -> Q99573 -> Q99558 -> Q99544 -> Q79087 -> Q79099 -> Q79108 -> Q79117 -> Q79126 -> Q79135 -> Q79147 -> Q79168 -> Q79192 -> Q79220 -> Q79244 -> Q79235 -> Q79253 -> Q79280 -> Q79313	Q82122 (Barbara, imperatriz of Rome)	Q99597 (Bárbara, Princess of Rome)	homonym_adjacent: endpoints share part of a name but not all of it (77% similar: 'Barbara, imperatriz of Rome' / 'Bárbara, Princess of Rome'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error | and the two records share a spouse (Romulus Augustulus,The Last Emperor of Rome), which is what a duplicated person looks like rather than corroboration [this edge appears in 7 of the 71 listed cycles]	low
46	Q79400 -> Q79424 -> Q79450 -> Q79480 -> Q79537 -> Q79618 -> Q99939 -> Q100154 -> Q100519 -> Q101113 -> Q113625 -> Q79385 -> Q79409 -> Q79429 -> Q79459 -> Q79495 -> Q79510 -> Q79582 -> Q79663 -> Q79863 -> Q80223 -> Q80606 -> Q81339 -> Q82122 -> Q99597 -> Q99585 -> Q99573 -> Q99558 -> Q99544 -> Q79087 -> Q79099 -> Q79108 -> Q79117 -> Q79126 -> Q79135 -> Q79147 -> Q79168 -> Q79192 -> Q79220 -> Q79244 -> Q79235 -> Q79253 -> Q79283 -> Q79328 -> Q79349 -> Q79367 -> Q79400	Q82122 (Barbara, imperatriz of Rome)	Q99597 (Bárbara, Princess of Rome)	homonym_adjacent: endpoints share part of a name but not all of it (77% similar: 'Barbara, imperatriz of Rome' / 'Bárbara, Princess of Rome'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error | and the two records share a spouse (Romulus Augustulus,The Last Emperor of Rome), which is what a duplicated person looks like rather than corroboration [this edge appears in 7 of the 71 listed cycles]	low
