child_qid	child_label	n_parents	clusters	proposed_parents	unresolved	reason
Q28324	SITA aka Janaki aka Mythili  Rama	9	[Q161263 'Bhumidevi \ Earth Earth' = Q51362 'Bhumidevi \ Earth Earth'] ; [Q161264 'SUNAYANA Janaka'] ; [Q161265 'King Janaka' = Q51357 'King Janaka'] ; [Q161266 'SHIRADVAJA \ JANAKA JANAKA'] ; [Q28332 'King of Mithila'] ; [Q51367 'SUNAYANA'] ; [Q52288 'Q52288']		yes	9 listed parents do NOT collapse: they cluster into 7 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 7 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q161263+Q51362: identical label 'Bhumidevi \ Earth Earth'; Q161265+Q51357: identical label 'King Janaka'
Q73119	Marcus Livius Drusus	8	[Q151476 'Marcus Livius Salinator'] ; [Q72798 'Marcus Livius Drusus'] ; [Q72801 'Cornelia'] ; [Q73173 'Marcus Aemilius Lepidus, Consul'] ; [Q73284 'Q73284'] ; [Q78450 'Cornelia Scipionis'] ; [Q78453 'Marcus Livius maior Drusus'] ; [Q78746 'Calavia Drusus']		yes	8 listed parents do NOT collapse: they cluster into 8 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 8 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on.
Q153494	DHRUVA Uttanapada	7	[Q130322 'unknown'] ; [Q153503 'UTTANAPADA Manu'] ; [Q153674 'Placeholder surname?'] ; [Q50540 'Q50540'] ; [Q50544 'Q50544'] ; [Q50548 'SUNEETI'] ; [Q53559 'Q53559']		yes	7 listed parents do NOT collapse: they cluster into 7 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 7 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on.
Q28364	RAGHU  Dirghabahu	7	[Q2327 'Dileepa Deerghabahu' = Q51407 'Dileepa Deerghabahu'] ; [Q28376 'Solar Dynasty'] ; [Q30011 'BHAGIRATHA son of Dilipa'] ; [Q52328 'Q52328'] ; [Q52332 'Q52332'] ; [Q53583 'Q53583']		yes	7 listed parents do NOT collapse: they cluster into 6 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 6 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q2327+Q51407: identical label 'Dileepa Deerghabahu'
Q74698	Tros	7	[Q130392 'Aether'] ; [Q131114 'Astyoche'] ; [Q131430 'Dies'] ; [Q132328 'Erichthonius of Dardania'] ; [Q74701 'Terra'] ; [Q74717 'Erebos'] ; [Q74720 'Nyx']		yes	7 listed parents do NOT collapse: they cluster into 7 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 7 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on.
Q123528	Fernando Rodríguez de Castro	6	[Q104407 'Elio Alvarez'] ; [Q104495 'Rodericus Fernandi'] ; [Q113686 'Rodrigo Fernández de Castro'] ; [Q115832 'Eilo Alvarez de Minaya'] ; [Q118368 'Aldonza Rodríguez de León'] ; [Q123526 'Esteban Fernández de Castro']		yes	6 listed parents do NOT collapse: they cluster into 6 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 6 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on.
Q153479	Nahusha	6	[Q153490 'Prabha Ayu' = Q160797 'Prabha Ayu'] ; [Q153491 'AYU Pururavas' = Q2098 'AYU Pururavas'] ; [Q153492 'ARUNDHATI Vasishta'] ; [Q160541 'VASISHTA']		yes	6 listed parents do NOT collapse: they cluster into 4 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 4 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q153490+Q160797: identical label 'Prabha Ayu'; Q153491+Q2098: identical label 'AYU Pururavas'
Q153520	DHATA	6	[Q130322 'unknown'] ; [Q153530 'KHYATI Bhrigu'] ; [Q153713 'Placeholder surname'] ; [Q2159 'BHRIGU'] ; [Q50669 'Q50669'] ; [Q53587 'Q53587']		yes	6 listed parents do NOT collapse: they cluster into 6 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 6 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on.
Q160905	RICHEYU \ ANADHRISHTI ANADHRISHTI	6	[Q160919 'SUDEVA'] ; [Q160920 'Ariha'] ; [Q160921 'MISRAKESI'] ; [Q160922 'RAUDRASVA Ahamyati'] ; [Q160923 'SURASENI Pravira'] ; [Q160924 'PRAVIRA Puru']		yes	6 listed parents do NOT collapse: they cluster into 6 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 6 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on.
Q66011	Fatimah bint Asad	6	[Q108042 'Fatima bint Qays'] ; [Q65011 'Assad son of Imaam Hashim'] ; [Q65061 'Asad ibn Hashim' = Q94239 'Asad son of Hashem'] ; [Q65966 'Fatimah daughter of Qays'] ; [Q94241 'Fatima daughter of Qays']		yes	6 listed parents do NOT collapse: they cluster into 5 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 5 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q65061+Q94239: same given name and every surname token matches as a spelling variant ('Asad ibn Hashim' / 'Asad son of Hashem')
Q72786	Marcus Aemilius Lepidus	6	[Q72789 'NN (Wife of Marcus Aemilius Lepidus)' = Q73110 'NN (Wife of Marcus Aemilius Lepidus)'] ; [Q72801 'Cornelia'] ; [Q73011 'Marcus Aemilius Lepidus' = Q73113 'Marcus Aemilius Lepidus' = Q73173 'Marcus Aemilius Lepidus, Consul']		yes	6 listed parents do NOT collapse: they cluster into 3 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 3 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q72789+Q73110: identical label 'NN (Wife of Marcus Aemilius Lepidus)'; Q73011+Q73113: identical label 'Marcus Aemilius Lepidus'; Q73011+Q73173: same given name and every surname token matches as a spelling variant ('Marcus Aemilius Lepidus' / 'Marcus Aemilius Lepidus, Consul'); Q73113+Q73173: same given name and every surname token matches as a spelling variant ('Marcus Aemilius Lepidus' / 'Marcus Aemilius Lepidus, Consul')
Q74701	Terra	6	[Q130392 'Aether'] ; [Q130498 'Q130498'] ; [Q130652 'Q130652'] ; [Q131430 'Dies'] ; [Q74717 'Erebos'] ; [Q74720 'Nyx']		yes	6 listed parents do NOT collapse: they cluster into 6 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 6 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on.
Q124326	Guerau V de Cabrera	5	[Q101441 'Ponce I de Cabrera'] ; [Q102567 'Ledgardis (Sybille) de Tost'] ; [Q104375 'Ponc II Giraldo de Cabrera'] ; [Q119220 'Elio Pérez de Castro'] ; [Q124325 'Guerau IV de Cabrera']		yes	5 listed parents do NOT collapse: they cluster into 5 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 5 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on.
Q153219	Maharaja Malayu II - Tribhuwanaraja (1286-1316) Placeholder surname Sang Sapurba	5	[Q153224 'Raja Langkasuka Sultan Suran Placeholder surname'] ; [Q48371 'Istri Trailokyaraja'] ; [Q48375 'Trailokyaraja Raja Sriwijaya & Malayupura'] ; [Q48379 'Q48379'] ; [Q48383 'Puteri Mahtabul Bahri Raja Aftabul Ardl']		yes	5 listed parents do NOT collapse: they cluster into 5 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 5 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on.
Q153436	Suklawatidewi bint Wiryabanyu	5	[Q2020 'Mulawarman' = Q49927 'Mulawarman'] ; [Q49923 'NN (Wife of Mulawarman)'] ; [Q49931 'Wiryabanyu son of Jayasatyanagara'] ; [Q49935 'Nilem Sari daughter of Welutbraja']		yes	5 listed parents do NOT collapse: they cluster into 4 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 4 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q2020+Q49927: identical label 'Mulawarman'
