group	how	qid	label	labels_agree
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father	Q1928	Jayasena	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father	Q49553	Jayasena	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father	Q160468	JAYASENA	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father	Q1945	Rananjaya	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father	Q49610	Rananjaya	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father	Q160496	RANANJAYA	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father	Q1959	Kritanjaya	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father	Q49659	Kritanjaya	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father	Q160521	KRITANJAYA	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father	Q1972	Dharmi	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father	Q49731	Dharmi	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father	Q160547	DHARMI	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father	Q1983	Brihadhvaj	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father	Q49771	Brihadhvaj	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father	Q160564	BRIHADVAJ	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	Q1994	Sumitra Amitrajit I	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	Q49819	Sumitra Amitrajit	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	Q160583	SUMITRA AMITRAJIT	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	Q2004	Suparna	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	Q49859	Suparna	yes
