verdict	role	child	child_label	a	a_label	b	b_label	a_wd	b_wd	a_kind	b_kind	shared_parents	shared_spouses
ABSENT	father	Q275	Orthopter	Q30727	Polyneoptera	Q54296				real	phantom	Q30723	
ABSENT	father	Q275	Orthopter	Q54296		Q152934	Orthops Polyneoptera			phantom	real		
ABSENT	father	Q276	Dictyoptera	Q30731	Polyneoptera	Q54300				real	phantom	Q30727	
ABSENT	father	Q276	Dictyoptera	Q54300		Q152935	Cryophanter Polyneoptera			phantom	real		
ABSENT	father	Q317	Toadstools	Q314	Nourishing Mushrooms	Q54248				real	phantom	Q310	
ABSENT	mother	Q1010	Dipnomorpha	Q30783		Q54352				real	phantom		Q1001
ABSENT	mother	Q1117	Homo floresiensis (0.05)	Q30868		Q54436				real	phantom		Q1112
ABSENT	mother	Q1118	Australopithecus sediba (2.0)	Q30868		Q54436				real	phantom		Q1112
ABSENT	mother	Q1119	Homo rudolfensis (1.9)	Q30868		Q54436				real	phantom		Q1112
ABSENT	mother	Q1120	Homo habilis (1.5)	Q30868		Q54436				real	phantom		Q1112
ABSENT	father	Q1435	Eumetabola	Q30626	Neopter	Q54196				real	missing	Q30622	
ABSENT	father	Q1607	Gerreiformes (mojarras)	Q6354		Q62693				phantom	phantom	Q41307	
ABSENT	father	Q1607	Gerreiformes (mojarras)	Q6354		Q153148	1 Eupercaria			phantom	real		
ABSENT	father	Q1607	Gerreiformes (mojarras)	Q62693		Q153148	1 Eupercaria			phantom	real		
ABSENT	father	Q2137	MATINARA	Q29983	RICHEYU \ ANADHRISHTI  ANADHRISHTI \Raudraswa	Q53554				real	phantom	Q50697,Q153533	
ABSENT	father	Q2137	MATINARA	Q53554		Q153525	RICHEYU \ ANADHRISHTI Raudraswa Raudraswa Raudraswa Raudraswa Raudraswa Raudraswa Raudraswa ANADHRISHTI			phantom	real	Q50697,Q153533	
ABSENT	father	Q2227	Susandhi, King of Kosala	Q2627	Prasusruta, King of Kosala	Q53538				real	phantom	Q2234	
ABSENT	father	Q2227	Susandhi, King of Kosala	Q29967	Prasusruta, King of Kosala	Q53538				real	phantom	Q2234	
ABSENT	father	Q2286	SENAJIT of Magadha	Q2289	BRIHATKARMAN of Magadha	Q52176				real	phantom	Q2292	
ABSENT	father	Q2289	BRIHATKARMAN of Magadha	Q2292	SUKSHATRA of Magadha	Q52188				real	phantom	Q2296	
ABSENT	father	Q2292	SUKSHATRA of Magadha	Q2296	NIRAMITRA of Magadha	Q52204				real	phantom	Q2299	
ABSENT	father	Q2296	NIRAMITRA of Magadha	Q2299	AYUTAYUS of Magadha	Q52216				real	phantom	Q2302	
ABSENT	father	Q2322	Aja	Q28364	RAGHU  Dirghabahu	Q52320				real	phantom	Q2327,Q28376,Q30011,Q52328	
ABSENT	father	Q2334	Burusho people	Q2324	Haplogroup R2	Q52316				real	phantom	Q1186	
ABSENT	father	Q2344	BAHUKA	Q2347	VRIKA	Q52408				real	phantom	Q26609	
ABSENT	father	Q2347	VRIKA	Q26609	BHARUK	Q52420				real	phantom	Q2354	
ABSENT	father	Q2359	SHRUT	Q28376	Solar Dynasty	Q52332				real	phantom	Q29558	
ABSENT	father	Q2359	SHRUT	Q28376	Solar Dynasty	Q53583				real	phantom		
ABSENT	father	Q2359	SHRUT	Q30011	BHAGIRATHA  son of Dilipa	Q52332				real	phantom		
ABSENT	father	Q2359	SHRUT	Q30011	BHAGIRATHA  son of Dilipa	Q53583				real	phantom	Q28388,Q51412	
ABSENT	father	Q2359	SHRUT	Q52332		Q53583				phantom	phantom		
ABSENT	father	Q2360	Champ	Q28905	HARIT (Mandhata)  Yuvanashva	Q52472				real	phantom	Q28913	
ABSENT	father	Q2369	SATYAVRATA aka Trishanku	Q2372	TRIDHANVA	Q52508				real	phantom	Q2374	
ABSENT	father	Q2372	TRIDHANVA	Q2374	VASUMAN aka SUMANAS 6 aka SUMATI	Q52516				real	phantom	Q2376	
ABSENT	father	Q2374	VASUMAN aka SUMANAS 6 aka SUMATI	Q2376	HARYASHVA II	Q52524				real	phantom	Q2378	
ABSENT	father	Q2376	HARYASHVA II	Q2378	PRISHADASHVA	Q52532				real	phantom	Q2381	
ABSENT	father	Q2378	PRISHADASHVA	Q2381	ANARANYA II	Q52544				real	phantom	Q28986	
ABSENT	father	Q2381	ANARANYA II	Q28986	SAMBHUTA 5	Q52552				real	phantom	Q2384	
ABSENT	father	Q2384	TRASADASYU 1	Q28994	PURUKUTSA of Ikshvaku Dynasty	Q52560				real	phantom	Q28998	Q51512
ABSENT	father	Q2391	Krishasva	Q2392	Santashva	Q52588				real	phantom	Q2393	
ABSENT	father	Q2392	Santashva	Q2393	Nikumbh	Q52592				real	phantom	Q2394	
ABSENT	father	Q2393	Nikumbh	Q2394	Haryashva I	Q52596				real	phantom	Q2395	
ABSENT	father	Q2408	North Indo European languages	Q2380	Indo European languages	Q52540				real	phantom	Q28469	Q51516
ABSENT	father	Q2412	Pouru Chishti Kayan	Q29136	Zoroaster	Q52701		Q35811		real	phantom	Q29184,Q51580	Q51572
ABSENT	father	Q2419	South Indo European Languages	Q2380	Indo European languages	Q52540				real	phantom	Q28469	Q51516
ABSENT	father	Q2427	Tocharian languages	Q2380	Indo European languages	Q52540				real	phantom	Q28469	Q51516
ABSENT	father	Q2440	Hardaar	Q2441	Spitama	Q52784				real	phantom	Q2442	
ABSENT	father	Q2443	Niaajem	Q29232	Ererch \ Rajan  Rajan ?	Q52796				real	phantom	Q2445	
ABSENT	father	Q2445	Dora Sharoob	Q29180	Midian  Raja Iran	Q52745				real	phantom	Q1341	
ABSENT	father	Q2447	Germanic	Q2408	North Indo European languages	Q52653				real	phantom	Q2380,Q51516	
ABSENT	father	Q2449	Peshotanu of Iran	Q29096	Vishtaspa  Raja Iran	Q52661				real	phantom	Q29100	Q2412
ABSENT	father	Q2450	Urvat-Ga	Q2448	Frasht	Q52812				real	phantom	Q2446	
ABSENT	father	Q2451	Italo-Celtic	Q2408	North Indo European languages	Q52653				real	phantom	Q2380,Q51516	
ABSENT	father	Q2452	Frashta-ka	Q2450	Urvat-Ga	Q52820				real	phantom	Q2448	
ABSENT	father	Q2453	Notarga	Q2452	Frashta-ka	Q52828				real	phantom	Q2450	
ABSENT	father	Q2454	Frana	Q2453	Notarga	Q52832				real	phantom	Q2452	
ABSENT	father	Q2455	Vamun	Q2453	Notarga	Q52832				real	phantom	Q2452	
ABSENT	father	Q2457	Changranha	Q2453	Notarga	Q52832				real	phantom	Q2452	
ABSENT	father	Q2461	Balto-Slavic	Q2408	North Indo European languages	Q52653				real	phantom	Q2380,Q51516	
ABSENT	father	Q2468	Ardashir	Q2467	Peshotan	Q52888				real	phantom	Q2476	
