Name,qid,Notes
Aster,Q1,"Primary cosmic goddess, protector of her children below, creator of the Milky Way through stirring cosmic milk"
Andromeda,Q3,"Companion goddess whose love shines from afar, bound to Aster by Lambda force"
Lambda,,"Cosmic force that binds Aster and Andromeda together like a star"
Juno,Q260,"Goddess who guides Steppenwolves and gas giants, cosmic guide wandering through the night"
Brunhilda,Q255,"Guardian goddess of failed stars and brown dwarfs, watches over stars with incomplete fusion"
Ruby,Q268,"Red dwarf star goddess, small but ever bright, witness to cosmic dusk and the Omega Point"
Chrystella,Q257,"Main sequence star goddess with vibrant youthful glow, becomes white dwarf in old age"
Celestella,Q256,"Red supergiant goddess commanding giant blazes, watches supernovae and neutron stars"
Gigastella,Q261,"Massive star goddess, sister to Celestella, collapsed into supernova and then black hole"
Steppenwolves,,"Cosmic entities guided by Juno, associated with gas giants"
