qid,english_label,english_description,label_count,description_count,wikidata_qids,wikidata_count
Q16244,Hatakeyama Mochikuni,,11,1,Q11578637; Q11578637; Q11578637,3
Q16245,Hatakeyama Mochinaga,,3,1,Q11578638; Q11578638; Q11578638,3
Q16246,Hatakeyama Mochitomi,,8,1,Q11578639; Q11578639; Q11578639,3
Q16247,Shimazu Mochihisa,,5,0,Q11246696; Q11246696; Q11246696,3
Q16248,Shimazu Tadakuni,,7,1,Q11162745; Q11162745; Q11162745,3
Q16259,Ozuki no Muneyoshi,,3,0,Q108716782; Q108716782; Q108716782,3
Q16260,Maeno Tsunamune,Japanese military commander,3,1,Q108781710; Q108781710; Q108781710,3
Q16266,Satake Tomoyoshi,,3,0,Q11383381; Q11383381; Q11383381,3
Q16267,Satake Yoshinobu,,4,1,Q11383430; Q11383430; Q11383430,3
Q16270,Konoe Fusatsugu,Japanese noble,16,19,Q3198709; Q3198709; Q3198709,3
Q16272,Mitsuchika,,2,1,Q110010033; Q110010033; Q110010033,3
Q16274,Niwata Yukiko,mother of Japanese emperor Go-Hanazono,9,4,Q11486211; Q11486211; Q11486211,3
Q16279,Ii Yukinao,,3,1,Q29410697; Q29410697; Q29410697,3
Q16281,Serada Mitsuyoshi,,2,1,Q60989727; Q60989727; Q60989727,3
Q16282,Saionji Kinna,,13,6,Q7223130; Q7223130; Q7223130,3
Q16288,Hoshikawa Kiyouji,,2,1,Q11605934; Q11605934; Q11605934,3
Q16290,Hosokawa Yoriyuki,Samurai of the Hosokawa clan,14,6,Q1139739; Q1139739; Q1139739,3
Q16291,Hosokawa Akiharu,,3,1,Q11606003; Q11606003; Q11606003,3
Q16292,Hosokawa Yoriari,,4,1,Q11606025; Q11606025; Q11606025,3
Q16313,Tokugawa Arichika,,4,1,Q11488736; Q11488736; Q11488736,3
Q16314,Abe Saneharu,,3,1,Q11657991; Q11657991; Q11657991,3
Q16322,Hino Arimitsu,,5,1,Q11510598; Q11510598; Q11510598,3
Q16337,Settsu no Chikaaki,,3,2,Q11498582; Q11498582; Q11498582,3
Q16342,Reizei Tamemasu,1516 - 22 Sep 1570,3,2,Q11395360; Q11395360; Q11395360,3
Q16343,Myouyu,,3,1,Q120731997; Q120731997; Q120731997,3
Q16345,Tokudaiji Saneatsu,Japanese politician,15,31,Q11489584; Q11489584; Q11489584,3
Q16351,Koga Michihiro,,5,2,Q24859424; Q24859424; Q24859424,3
Q16353,Imadegawa Kinnao,,9,1,Q11376745; Q11376745; Q11376745,3
Q16356,Kanroji Motonaga,,4,1,Q17990301; Q17990301; Q17990301,3
Q16359,Michihide Nakanoin,,10,1,Q24040325; Q24040325; Q24040325,3
Q16362,Niwata Shigekata,,2,1,Q123406320; Q123406320; Q123406320,3
Q16363,Niwata Tsuneari,,9,1,Q15043480; Q15043480; Q15043480,3
Q16376,Hino Mitsuko,,3,1,Q109259134; Q109259134; Q109259134,3
Q16377,Itsutsuji Asako,,3,1,Q109260790; Q109260790; Q109260790,3
Q16380,Date Narimune,,3,1,Q10885147; Q10885147; Q10885147,3
Q16382,Hino Yoshisuke,,4,1,Q11510625; Q11510625; Q11510625,3
Q16386,Hino Tomiko,Proeminent figure during the Ōnin war,26,15,Q5306708; Q5306708; Q5306708,3
Q16388,daughter of Imagawa Norimasa,,3,0,Q108532803; Q108532803; Q108532803,3
Q16389,Ashikaga Yoshihisa,9th shogun of the Ashikaga shogunate,32,13,Q447639; Q447639; Q447639,3
Q16390,Hino Yoshiko,,2,1,Q108454736; Q108454736; Q108454736,3
Q16391,Ashikaga Yoshitane,"Tenth shōgun of the Ashikaga shogunate of Japan (1490–1493, 1508–1521)",29,12,Q708527; Q708527; Q708527,3
Q16393,Mizuno Yoshizumi,,6,1,Q11549456; Q11549456; Q11549456,3
Q16395,Ashikaga Chachamaru,2nd Horikoshi Kubō,5,2,Q11636821; Q11636821; Q11636821,3
Q16397,Ashikaga Jundoshi,,4,1,Q11636795; Q11636795; Q11636795,3
Q16398,Masaharu Oda,,9,2,Q11463127; Q11463127; Q11463127,3
Q16401,"{'language': 'en', 'value': 'Emperor Reigen'}","{'language': 'en', 'value': 'emperor of Japan'}",47,22,Q313808; Q313808; Q313808,3
Q16406,"{'language': 'en', 'value': 'Saku-no-miya'}","{'language': 'en', 'value': 'member of Japanese royal family in Edo period'}",6,1,Q10886843; Q10886843; Q10886843,3
Q16428,"{'language': 'en', 'value': 'Takatsukasa Hisasuke'}","{'language': 'en', 'value': 'kuge or Japanese court noble of the Edo period'}",10,2,Q3514223; Q3514223; Q3514223,3
Q16429,"{'language': 'en', 'value': 'Takatsukasa Fusahiro'}","{'language': 'en', 'value': 'Japanese court noble'}",13,4,Q3514219; Q3514219; Q3514219,3
Q16431,"{'language': 'en', 'value': 'Shimizudani Sanenari'}",,3,1,Q17213359; Q17213359; Q17213359,3
Q16432,"{'language': 'en', 'value': 'Sono Motokatsu'}",,2,1,Q109796885; Q109796885; Q109796885,3
Q16439,"{'language': 'en', 'value': 'Go-Sakuramachi'}","{'language': 'en', 'value': 'empress regnant of Japan (1740-1813)'}",54,25,Q230525; Q230525; Q230525,3
Q16443,Jin Yufu,,2,0,Q28517375; Q28517375; Q28517375,3
Q16444,Cheomhae of Silla,Ruler of Korean state of Silla from 247 to 261,19,5,Q485584; Q485584; Q485584,3
Q16445,Imae,prince of silla dynasty,8,2,Q28501059; Q28501059; Q28501059,3
Q16446,Seok Goljon,,5,0,Q28501058; Q28501058; Q28501058,3
Q16447,,,3,0,Q28503749; Q28503749; Q28503749,3
